0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0
1	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0
10	0.5	0	0.5	0	2.0	0	0.5	0	2.5	0
100	1.0	0	1.5	0	2.5	0	2.5	0	2.0	0	0.5	0	0.5	0	2.5	0	3.5	0	0.5	0
1000	2.0	0	0.5	0	1.0	0	1.0	0	2.0	0	1.0	0	1.0	0	1.5	0	2.0	0	0.0	0
10000	4.0	0	127.0	9	42.5	10	60.0	6	8.0	0	87.5	6	133.0	9	67.5	4	41.5	6	131.5	9
2000	2.0	0	4.0	0	2.0	0	2.5	0	3.0	0	4.0	0	2.0	0	3.5	0	2.0	0	3.0	0
3000	5.5	0	3.0	0	1.5	0	3.5	0	5.0	0	7.0	0	3.5	0	3.5	0	4.5	0	5.0	0
4000	5.0	0	4.0	0	7.0	0	7.5	0	8.0	0	6.0	0	2.5	0	7.0	0	7.5	0	5.0	0
5000	5.0	0	7.0	0	4.5	0	3.5	0	5.0	0	5.0	0	5.5	0	5.0	0	4.5	0	7.0	0
6000	6.5	0	5.5	0	4.0	0	9.5	0	3.5	0	68.5	7	7.5	0	3.0	0	4.0	0	4.5	0
7000	4.5	0	7.0	0	3.5	0	6.0	0	9.0	0	5.0	0	3.5	0	4.5	0	2.0	0	4.5	0
8000	65.0	2	3.0	0	6.0	0	4.0	0	139.0	9	3.5	0	3.5	0	3.5	0	160.0	9	3.5	0
9000	4.0	0	46.5	8	8.0	0	3.0	0	158.0	9	6.0	0	25.5	8	7.5	0	33.5	6	87.5	5
