10.0	0.0	10	0.0	10	0.0	10	0.0	10	0.0	10
11.0	0.0	10	0.0	10	0.0	10	0.0	10	0.0	10
12.0	0.0	10	0.0	10	0.0	10	0.0	10	0.0	10
13.0	0.0	10	0.0	10	0.0	10	0.0	10	0.0	10
14.0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0
15.0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0
16.0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0
17.0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0
18.0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0
19.0	95.0	9	135.5	9	117.5	9	117.0	9	159.0	9
20.0	112.0	9	69.5	9	134.5	9	166.0	9	173.5	9
5.0	12.0	9	12.0	9	12.0	9	12.0	9	12.0	9
6.0	36.0	9	36.0	9	36.0	9	36.0	9	36.0	9
7.0	0.0	10	0.0	10	0.0	10	0.0	10	0.0	10
8.0	2.5	10	0.5	10	0.0	10	1.5	10	0.5	10
9.0	0.0	10	0.0	10	0.0	10	0.0	10	0.0	10
