0.5	(73.0, 9)	(94.5, 9)	(117.0, 9)	(118.0, 9)	(76.0, 9)
1.0	(159.5, 9)	(150.0, 8)	(66.0, 9)	(70.0, 9)	(64.0, 9)
1.5	(114.0, 9)	(118.0, 9)	(22.5, 9)	(144.5, 9)	(115.0, 9)
10.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
10.5	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
11.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
11.5	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
12.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
12.5	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
13.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
13.5	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
14.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
14.5	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
15.0	(0.0, 0)	(0.0, 0)	(0.5, 0)	(0.5, 0)	(0.0, 0)
15.5	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
16.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
16.5	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
17.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
17.5	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
18.0	(95.0, 9)	(80.0, 9)	(136.5, 8)	(137.5, 9)	(92.5, 9)
18.5	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
19.0	(115.0, 9)	(71.0, 9)	(68.0, 9)	(114.0, 9)	(167.5, 9)
19.5	(107.0, 8)	(118.5, 8)	(99.5, 8)	(133.5, 8)	(88.0, 8)
2.0	(103.5, 9)	(62.0, 9)	(72.0, 9)	(74.5, 9)	(121.0, 8)
2.5	(108.5, 8)	(26.0, 9)	(119.0, 9)	(116.5, 9)	(172.0, 9)
20.0	(121.0, 9)	(115.0, 9)	(152.0, 9)	(130.5, 9)	(109.0, 9)
3.0	(155.5, 9)	(137.5, 9)	(101.5, 9)	(90.5, 9)	(19.0, 9)
3.5	(72.0, 9)	(166.5, 8)	(138.5, 9)	(74.0, 9)	(75.5, 9)
4.0	(145.5, 9)	(22.0, 9)	(134.5, 9)	(66.0, 9)	(110.5, 9)
4.5	(32.5, 9)	(102.0, 9)	(70.5, 9)	(226.5, 9)	(67.0, 9)
5.0	(120.0, 9)	(131.0, 9)	(103.0, 9)	(116.0, 8)	(119.0, 9)
5.5	(52.0, 8)	(99.0, 9)	(25.5, 9)	(61.0, 9)	(16.0, 9)
6.0	(120.5, 8)	(81.5, 9)	(184.5, 9)	(20.0, 9)	(77.0, 9)
6.5	(72.0, 9)	(109.0, 9)	(143.5, 9)	(97.0, 9)	(118.0, 9)
7.0	(50.5, 9)	(92.5, 9)	(121.0, 8)	(113.0, 9)	(114.5, 9)
7.5	(121.5, 9)	(192.5, 9)	(95.5, 9)	(67.5, 9)	(93.5, 9)
8.0	(124.0, 9)	(133.5, 9)	(116.0, 9)	(126.0, 9)	(19.0, 9)
8.5	(77.0, 9)	(134.5, 8)	(75.0, 9)	(71.0, 9)	(67.0, 8)
9.0	(112.0, 9)	(139.5, 9)	(117.0, 9)	(21.5, 9)	(75.5, 9)
9.5	(100.5, 9)	(96.5, 9)	(111.0, 8)	(29.0, 9)	(67.0, 9)
